Latitude,Longitude,Altitude (m),Resolution (m),Bearing (degrees)
12.933396,79.903107,58,42.09278,262.660236
12.933367,79.902876,58.3,25.241226,252.422024
12.932923,79.901438,58.3,163.475305,250.418243
12.932223,79.899419,60,232.239938,250.311078
12.931801,79.898209,61,139.27607,160.066529
12.931715,79.898241,61,10.172188,248.76626
12.931587,79.897903,61,39.298639,245.90589
12.930989,79.896531,59,162.881437,244.150566
12.930369,79.895218,60.7,158.117587,241.215577
12.929735,79.894034,61,146.407125,236.930877
12.929669,79.89393,61,13.449752,235.187581
12.929444,79.893598,61,43.824147,232.90438
12.926577,79.889708,63,528.548833,249.199803
12.92647,79.889419,63,33.504642,232.667663
12.923327,79.885191,70,576.286939,232.797964
12.921481,79.882696,75,339.489268,236.641627
12.921327,79.882456,75,31.141689,243.160895
12.92111,79.882016,75,53.444015,250.280222
12.920834,79.881226,74.8,90.953846,263.066372
12.920763,79.880627,74,65.397593,272.709823
12.920794,79.879955,73.2,72.912545,280.38206
